title,release_year,price,description,imdb_id,poster_url
The Godfather,1972,24.99,"The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.",tt0068646,"MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SY1000_CR0,0,704,1000_AL_.jpg"
Wild Strawberries,1957,20.99,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",tt0050986,"MV5BYzdkODZlOGItY2RjZC00Mzc5LWI5NzMtZDUyMmNhNjljOWE2XkEyXkFqcGdeQXVyOTk4MjA5NjQ@._V1_SY1000_CR0,0,657,1000_AL_.jpg"
The Shawshank Redemption,1994,26.99,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",tt0111161,"MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg"
One Flew Over the Cuckoo's Nest,1975,22.99,"Upon admittance to a mental institution, a brash rebel rallies the patients to take on the oppressive head nurse.",tt0073486,"MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SY1000_CR0,0,672,1000_AL_.jpg"
The Dark Knight,2008,14.99,"When Batman, Gordon and Harvey Dent launch an assault on the mob, they let the clown out of the box, the Joker, bent on turning Gotham on itself and bringing any heroes down to his level.",tt0468569,"MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_SY1000_CR0,0,675,1000_AL_.jpg"
It's a Wonderful Life,1946,15.99,"An angel helps a compassionate but despairingly frustrated businessman by showing what life would have been like if he never existed.",tt0038650,"MV5BZjc4NDZhZWMtNGEzYS00ZWU2LThlM2ItNTA0YzQ0OTExMTE2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_SY1000_CR0,0,687,1000_AL_.jpg"
Kill Bill,2003,13.99,"The Bride wakens from a four-year coma. The child she carried in her womb is gone. Now she must wreak vengeance on the team of assassins who betrayed her - a team she was once part of.",tt0266697,"MV5BNzM3NDFhYTAtYmU5Mi00NGRmLTljYjgtMDkyODQ4MjNkMGY2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg"
Seven Samurai,1954,19.99,"A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.",tt0047478,"MV5BOWE4ZDdhNmMtNzE5ZC00NzExLTlhNGMtY2ZhYjYzODEzODA1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SY1000_CR0,0,709,1000_AL_.jpg"
Apocalypse Now,1979,24.99,"During the U.S.-Viet Nam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade colonel who has set himself up as a god among a local tribe.",tt0078788,"MV5BMDdhODg0MjYtYzBiOS00ZmI5LWEwZGYtZDEyNDU4MmQyNzFkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SY1000_CR0,0,666,1000_AL_.jpg"
Blood Diamond,2006,17.99,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",tt0450259,"MV5BZDMxOGZhNWYtMzRlYy00Mzk5LWJjMjEtNmQ4NDU4M2QxM2UzXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SY1000_CR0,0,675,1000_AL_.jpg"
